rho,ordinal_covariance
0.12630944450672227,0.0875292087432936
0.12651057419542724,0.08766920114246811
0.12671170388413222,0.08780919572444461
0.1269128335728372,0.08794919249031934
0.12711396326154217,0.0880891914411897
0.12731509295024712,0.08822919257815197
0.1275162226389521,0.08836919590230351
0.12771735232765707,0.08850920141474115
0.12791848201636205,0.08864920911656164
0.12811961170506703,0.08878921900886215
0.128320741393772,0.08892923109274024
0.12852187108247695,0.08906924536929266
0.12872300077118193,0.08920926183961701
0.1289241304598869,0.08934928050481054
0.12912526014859188,0.08948930136597054
0.12932638983729686,0.08962932442419484
0.12952751952600183,0.08976934968058069
0.12972864921470678,0.08990937713622575
0.12992977890341176,0.09004940679222805
0.13013090859211673,0.09018943864968497
0.1303320382808217,0.09032947270969453
0.1305331679695267,0.09046950897335475
0.13073429765823166,0.0906095474417634
0.1309354273469366,0.09074958811601867
0.1311365570356416,0.09088963099721852
0.13133768672434656,0.09102967608646116
0.13153881641305154,0.09116972338484501
0.13173994610175652,0.09130977289346835
0.1319410757904615,0.09144982461342958
0.13214220547916644,0.09158987854582694
0.13234333516787142,0.09172993469175887
0.1325444648565764,0.09186999305232439
0.13274559454528137,0.09201005362862201
0.13294672423398635,0.09215011642175007
0.13314785392269132,0.09229018143280825
0.1333489836113963,0.09243024866289455
0.13355011330010125,0.09257031811310822
0.13375124298880622,0.09271038978454858
0.1339523726775112,0.09285046367831405
0.13415350236621618,0.09299053979550463
0.13435463205492115,0.09313061813721861
0.13455576174362613,0.09327069870455588
0.13475689143233108,0.09341078149861524
0.13495802112103605,0.09355086652049725
0.13515915080974103,0.09369095377130031
0.135360280498446,0.09383104325212442
0.13556141018715098,0.09397113496406916
0.13576253987585596,0.09411122890823424
0.1359636695645609,0.09425132508571936
0.13616479925326588,0.09439142349762462
0.13636592894197086,0.09453152414504944
0.13656705863067584,0.0946716270290943
0.1367681883193808,0.09481173215085913
0.1369693180080858,0.0949518395114438
0.13717044769679074,0.09509194911194895
0.1373715773854957,0.0952320609534744
0.1375727070742007,0.09537217503712085
0.13777383676290567,0.0955122913639888
0.13797496645161064,0.09565240993517825
0.13817609614031562,0.09579253075178999
0.13837722582902057,0.09593265381492481
0.13857835551772554,0.09607277912568317
0.13877948520643052,0.0962129066851659
0.1389806148951355,0.0963530364944739
0.13918174458384047,0.0964931685547079
0.13938287427254545,0.09663330286696929
0.1395840039612504,0.09677343943235843
0.13978513364995537,0.0969135782519772
0.13998626333866035,0.0970537193269264
0.14018739302736533,0.0971938626583073
0.1403885227160703,0.09733400824722137
0.14058965240477528,0.09747415609477005
0.14079078209348025,0.09761430620205429
0.1409919117821852,0.09775445857017666
0.14119304147089018,0.09789461320023772
0.14139417115959516,0.09803477009333993
0.14159530084830013,0.0981749292505845
0.1417964305370051,0.09831509067307374
0.14199756022571008,0.09845525436190943
0.14219868991441503,0.09859542031819317
0.14239981960312,0.09873558854302743
0.14260094929182499,0.09887575903751443
0.14280207898052996,0.09901593180275596
0.14300320866923494,0.09915610683985458
0.14320433835793991,0.09929628414991275
0.14340546804664486,0.09943646373403252
0.14360659773534984,0.09957664559331668
0.14380772742405482,0.09971682972886785
0.1440088571127598,0.09985701614178848
0.14420998680146477,0.0999972048331809
0.14441111649016974,0.1001373958041487
0.1446122461788747,0.10027758905579436
0.14481337586757967,0.10041778458922089
0.14501450555628465,0.10055798240553092
0.14521563524498962,0.10069818250582778
0.1454167649336946,0.10083838489121492
0.14561789462239957,0.10097858956279525
0.14581902431110452,0.10111879652167209
0.1460201539998095,0.1012590057689489
0.14622128368851448,0.10139921730572891
0.14642241337721945,0.10153943113311596
0.14662354306592443,0.10167964725221333
0.1468246727546294,0.10181986566412514
0.14702580244333435,0.10196008636995445
0.14722693213203933,0.10210030937080582
0.1474280618207443,0.10224053466778253
0.14762919150944928,0.10238076226198876
0.14783032119815426,0.10252099215452874
0.14803145088685923,0.10266122434650647
0.1482325805755642,0.10280145883902601
0.14843371026426916,0.10294169563319165
0.14863483995297413,0.10308193473010789
0.1488359696416791,0.1032221761308789
0.1490370993303841,0.1033624198366093
0.14923822901908906,0.10350266584840372
0.14943935870779404,0.10364291416736675
0.149640488396499,0.10378316479460291
0.14984161808520396,0.10392341773121737
0.15004274777390894,0.10406367297831474
0.15024387746261392,0.10420393053699976
0.1504450071513189,0.10434419040837788
0.15064613684002387,0.10448445259355403
0.15084726652872882,0.10462471709363312
0.1510483962174338,0.10476498390972065
0.15124952590613877,0.10490525304292168
0.15145065559484375,0.10504552449434189
0.15165178528354872,0.10518579826508666
0.1518529149722537,0.10532607435626161
0.15205404466095865,0.10546635276897191
0.15225517434966362,0.10560663350432374
0.1524563040383686,0.10574691656342276
0.15265743372707358,0.1058872019473746
0.15285856341577855,0.10602748965728552
0.15305969310448353,0.10616777969426126
0.15326082279318848,0.10630807205940816
0.15346195248189345,0.10644836675383194
0.15366308217059843,0.10658866377863906
0.1538642118593034,0.10672896313493578
0.15406534154800838,0.10686926482382873
0.15426647123671336,0.10700956884642386
0.15446760092541834,0.10714987520382806
0.15466873061412328,0.10729018389714783
0.15486986030282826,0.10743049492749006
0.15507098999153324,0.1075708082959612
