lat,long,cell_id,Lbar_g,sigma2_g,sigma_g,pcold_g,pwarm_g
21.7894736842105,140,56,298.05757672322824,0.18154365217891064,0.4260793965670138,0.0561368778280543,0.052884615384615384
21.7894736842105,142.5,57,298.16383632995064,0.17423177004401869,0.41741079291750316,0.05231900452488688,0.047652714932126694
23.6842105263158,97.5,58,290.68324016122256,0.18798322435079948,0.4335703222671029,0.05005656108597285,0.061368778280542984
23.6842105263158,100,59,288.2199142191385,0.13122642343098437,0.3622518784367921,0.02743212669683258,0.026866515837104074
23.6842105263158,102.5,60,288.0953536835551,0.16808479290788106,0.40998145434626804,0.04199660633484163,0.049773755656108594
23.6842105263158,105,61,287.5576587381406,0.18498359100947775,0.43009718786511236,0.05345022624434389,0.05260180995475113
23.6842105263158,107.5,62,290.4798528533176,0.22430091966733554,0.4736041803735853,0.06942873303167421,0.0752262443438914
23.6842105263158,110,63,292.2917133032107,0.21552003827100233,0.4642413577773983,0.0667420814479638,0.06815610859728506
23.6842105263158,112.5,64,291.9729748275665,0.20719325635542468,0.4551848595410712,0.06221719457013575,0.06363122171945701
23.6842105263158,115,65,292.5956411354502,0.20686537386740264,0.4548245528414255,0.06348981900452488,0.06631787330316742
23.6842105263158,117.5,66,294.7254777864453,0.17829460127828797,0.4222494538519712,0.04835972850678733,0.05132918552036199
23.6842105263158,120,67,294.9109430536066,0.198109166337343,0.4450945588718683,0.057126696832579184,0.06348981900452488
23.6842105263158,122.5,68,296.25293643873744,0.21713303726061764,0.4659753612162532,0.06787330316742081,0.07423642533936652
23.6842105263158,125,69,296.57817047178116,0.25725023100514766,0.5071984138432885,0.0831447963800905,0.09671945701357466
23.6842105263158,127.5,70,296.53804748234523,0.25473217746128335,0.5047099934232364,0.08243778280542986,0.09572963800904978
23.6842105263158,130,71,296.5482302460016,0.24038971604534323,0.49029553949158383,0.07565045248868778,0.0852658371040724
23.6842105263158,132.5,72,296.65902651740777,0.2315813923991676,0.4812290435948018,0.0709841628959276,0.08017533936651584
23.6842105263158,135,73,296.8184195676001,0.2274418454272145,0.476908634255257,0.06957013574660634,0.0794683257918552
23.6842105263158,137.5,74,296.9892530488033,0.22619554414028895,0.4756001935873123,0.06971153846153846,0.07918552036199095
23.6842105263158,140,75,297.16015574835006,0.22617174698225562,0.47557517490114604,0.07070135746606335,0.07847850678733032
