city,long,lati,year,ensemble_mean_kelvin
HongKong,114.167,22.333,1439,295.6643433163454
Shanghai,121.433,31.167,1439,289.7357225481297
Beijing,116.283,39.933,1439,280.207409329897
HongKong,114.167,22.333,1440,295.58878738912364
Shanghai,121.433,31.167,1440,289.6673425630911
Beijing,116.283,39.933,1440,279.9911928428174
HongKong,114.167,22.333,1441,295.5438827430538
Shanghai,121.433,31.167,1441,289.64454484716316
Beijing,116.283,39.933,1441,280.16953701678614
HongKong,114.167,22.333,1442,295.7594109348992
Shanghai,121.433,31.167,1442,289.6569737318226
Beijing,116.283,39.933,1442,280.0483299056328
HongKong,114.167,22.333,1443,295.6640630847539
Shanghai,121.433,31.167,1443,289.5656394567089
Beijing,116.283,39.933,1443,279.81642956589644
HongKong,114.167,22.333,1444,295.7567148859302
Shanghai,121.433,31.167,1444,289.7979647889422
Beijing,116.283,39.933,1444,280.10784765900706
HongKong,114.167,22.333,1445,295.6858360722896
Shanghai,121.433,31.167,1445,289.85617632351034
Beijing,116.283,39.933,1445,280.19452577655636
HongKong,114.167,22.333,1446,295.79268371424683
Shanghai,121.433,31.167,1446,289.95344861401526
Beijing,116.283,39.933,1446,280.1452808152279
HongKong,114.167,22.333,1447,295.67669511419626
Shanghai,121.433,31.167,1447,289.60689993975467
Beijing,116.283,39.933,1447,279.9649700069984
HongKong,114.167,22.333,1448,295.65833679804734
Shanghai,121.433,31.167,1448,289.5196408003876
Beijing,116.283,39.933,1448,280.04368727459524
HongKong,114.167,22.333,1449,295.66670020706437
Shanghai,121.433,31.167,1449,289.71762153515635
Beijing,116.283,39.933,1449,280.1985411190773
HongKong,114.167,22.333,1450,295.7809190769196
Shanghai,121.433,31.167,1450,289.8394386086014
Beijing,116.283,39.933,1450,280.19223425387844
HongKong,114.167,22.333,1451,295.71427814092783
Shanghai,121.433,31.167,1451,289.832960129889
Beijing,116.283,39.933,1451,280.2187773646412
HongKong,114.167,22.333,1452,295.10573010350913
Shanghai,121.433,31.167,1452,289.02909481671287
Beijing,116.283,39.933,1452,279.45521096101305
HongKong,114.167,22.333,1453,294.487117954315
Shanghai,121.433,31.167,1453,288.4971207278633
Beijing,116.283,39.933,1453,279.1528981348302
HongKong,114.167,22.333,1454,295.4099099777716
Shanghai,121.433,31.167,1454,289.2898476100935
Beijing,116.283,39.933,1454,279.47188234239263
HongKong,114.167,22.333,1455,295.4958639777169
Shanghai,121.433,31.167,1455,289.4420250460606
Beijing,116.283,39.933,1455,279.79164529093583
HongKong,114.167,22.333,1456,295.4136743844821
Shanghai,121.433,31.167,1456,289.47621469230717
Beijing,116.283,39.933,1456,279.77165250287436
HongKong,114.167,22.333,1457,295.47696688991624
Shanghai,121.433,31.167,1457,289.87301300123653
Beijing,116.283,39.933,1457,280.23050166319064
HongKong,114.167,22.333,1458,295.4324649935356
Shanghai,121.433,31.167,1458,289.46660525912114
Beijing,116.283,39.933,1458,280.03000543549405
HongKong,114.167,22.333,1459,295.13910129186667
Shanghai,121.433,31.167,1459,288.8663066234633
Beijing,116.283,39.933,1459,279.1525121051002
HongKong,114.167,22.333,1460,295.2645833822953
Shanghai,121.433,31.167,1460,288.6357474938783
Beijing,116.283,39.933,1460,279.07986515945015
HongKong,114.167,22.333,1461,295.43911942587926
Shanghai,121.433,31.167,1461,289.219026417747
Beijing,116.283,39.933,1461,279.67063133520804
HongKong,114.167,22.333,1462,295.6258407253153
Shanghai,121.433,31.167,1462,289.4303467294225
Beijing,116.283,39.933,1462,279.7832372707717
HongKong,114.167,22.333,1463,295.65303669621136
Shanghai,121.433,31.167,1463,289.4737275004196
Beijing,116.283,39.933,1463,279.9930612686541
HongKong,114.167,22.333,1464,295.7266707104373
Shanghai,121.433,31.167,1464,289.56352884902486
Beijing,116.283,39.933,1464,279.94623955324164
HongKong,114.167,22.333,1465,295.52061386463924
Shanghai,121.433,31.167,1465,289.6871000052889
Beijing,116.283,39.933,1465,280.06738675256554
HongKong,114.167,22.333,1466,295.6175735074987
Shanghai,121.433,31.167,1466,289.7410792323015
Beijing,116.283,39.933,1466,280.07313254438765
HongKong,114.167,22.333,1467,295.5392593625741
Shanghai,121.433,31.167,1467,289.5071309431743
Beijing,116.283,39.933,1467,279.9545864956398
HongKong,114.167,22.333,1468,295.74927732642243
Shanghai,121.433,31.167,1468,289.91581912206516
Beijing,116.283,39.933,1468,280.0628988039729
HongKong,114.167,22.333,1469,295.719629809867
Shanghai,121.433,31.167,1469,289.8055501071291
Beijing,116.283,39.933,1469,280.30683370042306
HongKong,114.167,22.333,1470,295.5948819106854
Shanghai,121.433,31.167,1470,289.7097675472394
Beijing,116.283,39.933,1470,280.0283264221281
HongKong,114.167,22.333,1471,295.70661502131776
Shanghai,121.433,31.167,1471,289.68106143385245
Beijing,116.283,39.933,1471,279.8831909409671
HongKong,114.167,22.333,1472,295.6026397642774
Shanghai,121.433,31.167,1472,289.7394673692902
Beijing,116.283,39.933,1472,280.01929983751046
HongKong,114.167,22.333,1473,295.5360380509343
Shanghai,121.433,31.167,1473,289.51836250828956
Beijing,116.283,39.933,1473,280.0172587655917
HongKong,114.167,22.333,1474,295.5001023109338
Shanghai,121.433,31.167,1474,289.7155328191502
Beijing,116.283,39.933,1474,280.0388132751366
HongKong,114.167,22.333,1475,295.74749659839557
Shanghai,121.433,31.167,1475,289.94188900489615
Beijing,116.283,39.933,1475,280.0615730416751
HongKong,114.167,22.333,1476,295.5003395796046
Shanghai,121.433,31.167,1476,289.5679377164994
Beijing,116.283,39.933,1476,279.78682487480336
HongKong,114.167,22.333,1477,295.3937493020886
Shanghai,121.433,31.167,1477,289.2451387062564
Beijing,116.283,39.933,1477,279.52907475382545
HongKong,114.167,22.333,1478,295.5625630976081
Shanghai,121.433,31.167,1478,289.63114402819195
Beijing,116.283,39.933,1478,279.9411435110761
HongKong,114.167,22.333,1479,295.5086324894906
Shanghai,121.433,31.167,1479,289.6939679519661
Beijing,116.283,39.933,1479,279.91438125300846
HongKong,114.167,22.333,1480,295.47230581086916
Shanghai,121.433,31.167,1480,289.46102858254693
Beijing,116.283,39.933,1480,279.7183939529556
HongKong,114.167,22.333,1481,295.53442282110166
Shanghai,121.433,31.167,1481,289.49415756240415
Beijing,116.283,39.933,1481,279.8763125102522
HongKong,114.167,22.333,1482,295.6086642585775
Shanghai,121.433,31.167,1482,289.431877154856
Beijing,116.283,39.933,1482,279.85565796656545
HongKong,114.167,22.333,1483,295.5710432574168
Shanghai,121.433,31.167,1483,289.4370537279963
Beijing,116.283,39.933,1483,279.7945986824574
HongKong,114.167,22.333,1484,295.68135565919994
Shanghai,121.433,31.167,1484,289.7596635445754
Beijing,116.283,39.933,1484,280.01329948802555
HongKong,114.167,22.333,1485,295.6002278542827
Shanghai,121.433,31.167,1485,289.5919939183954
Beijing,116.283,39.933,1485,280.01313057996765
HongKong,114.167,22.333,1486,295.71575523396643
Shanghai,121.433,31.167,1486,289.68879884231376
Beijing,116.283,39.933,1486,280.0871384363203
HongKong,114.167,22.333,1487,295.6427820119521
Shanghai,121.433,31.167,1487,289.6733231929614
Beijing,116.283,39.933,1487,280.0218716187133
HongKong,114.167,22.333,1488,295.5070828015531
Shanghai,121.433,31.167,1488,289.7321315139716
Beijing,116.283,39.933,1488,280.276079388098
HongKong,114.167,22.333,1489,295.54944682586137
Shanghai,121.433,31.167,1489,289.55535845679367
Beijing,116.283,39.933,1489,279.98904728027077
HongKong,114.167,22.333,1490,295.6528402958124
Shanghai,121.433,31.167,1490,289.5808659354739
Beijing,116.283,39.933,1490,280.1636567232653
HongKong,114.167,22.333,1491,295.7976155307773
Shanghai,121.433,31.167,1491,289.8703421110796
Beijing,116.283,39.933,1491,280.2366790091657
HongKong,114.167,22.333,1492,295.6599326436948
Shanghai,121.433,31.167,1492,289.96342269324265
Beijing,116.283,39.933,1492,280.0944900757026
HongKong,114.167,22.333,1493,295.60509699370107
Shanghai,121.433,31.167,1493,289.7384750942722
Beijing,116.283,39.933,1493,280.14852959458864
HongKong,114.167,22.333,1494,295.82396393758876
Shanghai,121.433,31.167,1494,289.70122915371127
Beijing,116.283,39.933,1494,279.92203771243237
HongKong,114.167,22.333,1495,295.7542106102777
Shanghai,121.433,31.167,1495,289.8256369178001
Beijing,116.283,39.933,1495,280.35687168784415
HongKong,114.167,22.333,1496,295.6891478557329
Shanghai,121.433,31.167,1496,289.8142880022443
Beijing,116.283,39.933,1496,280.032677298739
HongKong,114.167,22.333,1497,295.5582385148499
Shanghai,121.433,31.167,1497,289.70689079974255
Beijing,116.283,39.933,1497,280.16877640668895
HongKong,114.167,22.333,1498,295.7219634311043
Shanghai,121.433,31.167,1498,289.8555334916995
Beijing,116.283,39.933,1498,280.16019786237393
HongKong,114.167,22.333,1499,295.8492501047084
Shanghai,121.433,31.167,1499,289.9178688232482
Beijing,116.283,39.933,1499,279.88779512403596
HongKong,114.167,22.333,1500,295.6310707445107
Shanghai,121.433,31.167,1500,289.5229261433502
Beijing,116.283,39.933,1500,280.10849226185417
HongKong,114.167,22.333,1501,295.61538619558235
Shanghai,121.433,31.167,1501,289.63774279746997
Beijing,116.283,39.933,1501,280.0647922861536
HongKong,114.167,22.333,1502,295.63940940765957
Shanghai,121.433,31.167,1502,289.6475735321526
Beijing,116.283,39.933,1502,280.1444086571132
HongKong,114.167,22.333,1503,295.55939458757774
Shanghai,121.433,31.167,1503,289.46157407444275
Beijing,116.283,39.933,1503,279.998897820432
HongKong,114.167,22.333,1504,295.6573626961393
Shanghai,121.433,31.167,1504,289.69148865973193
Beijing,116.283,39.933,1504,280.1073616361536
HongKong,114.167,22.333,1505,295.6041920789676
Shanghai,121.433,31.167,1505,289.5086855793446
Beijing,116.283,39.933,1505,280.00957427841644
HongKong,114.167,22.333,1506,295.599365234581
Shanghai,121.433,31.167,1506,289.7185843665772
Beijing,116.283,39.933,1506,280.0967732915585
HongKong,114.167,22.333,1507,295.84120029004595
Shanghai,121.433,31.167,1507,290.04015725379617
Beijing,116.283,39.933,1507,280.0607551036023
HongKong,114.167,22.333,1508,295.83552355860144
Shanghai,121.433,31.167,1508,290.0502254244467
Beijing,116.283,39.933,1508,280.13693942880946
HongKong,114.167,22.333,1509,295.5579885597315
Shanghai,121.433,31.167,1509,289.6080234932908
Beijing,116.283,39.933,1509,279.9389660202998
HongKong,114.167,22.333,1510,295.6010231624315
Shanghai,121.433,31.167,1510,289.5826377222068
Beijing,116.283,39.933,1510,280.03398127667003
HongKong,114.167,22.333,1511,295.5052612355413
Shanghai,121.433,31.167,1511,289.51888222726063
Beijing,116.283,39.933,1511,280.0039550858412
HongKong,114.167,22.333,1512,295.56895734984
Shanghai,121.433,31.167,1512,289.62771785102706
Beijing,116.283,39.933,1512,280.0878879078352
HongKong,114.167,22.333,1513,295.68946279018286
Shanghai,121.433,31.167,1513,289.68056517307906
Beijing,116.283,39.933,1513,279.8702934098598
HongKong,114.167,22.333,1514,295.6262724815478
Shanghai,121.433,31.167,1514,289.57991977125135
Beijing,116.283,39.933,1514,279.801564810615
HongKong,114.167,22.333,1515,295.6673530400015
Shanghai,121.433,31.167,1515,289.69976319387
Beijing,116.283,39.933,1515,280.18023979991517
HongKong,114.167,22.333,1516,295.66566581652097
Shanghai,121.433,31.167,1516,289.8349837303032
Beijing,116.283,39.933,1516,280.23366445514256
HongKong,114.167,22.333,1517,295.6526959818441
Shanghai,121.433,31.167,1517,289.57315471910016
Beijing,116.283,39.933,1517,279.86520092354544
HongKong,114.167,22.333,1518,295.77003152495945
Shanghai,121.433,31.167,1518,289.70713655652065
Beijing,116.283,39.933,1518,279.97806146755323
HongKong,114.167,22.333,1519,295.64827854081483
Shanghai,121.433,31.167,1519,289.6724650330547
Beijing,116.283,39.933,1519,280.1841801801331
HongKong,114.167,22.333,1520,295.78474420691055
Shanghai,121.433,31.167,1520,289.7032176716139
Beijing,116.283,39.933,1520,280.1626434695289
HongKong,114.167,22.333,1521,295.6126159637581
Shanghai,121.433,31.167,1521,289.75872885226323
Beijing,116.283,39.933,1521,280.1398915588545
HongKong,114.167,22.333,1522,295.87847633024046
Shanghai,121.433,31.167,1522,289.81121202282185
